address,listing_url,osu_id,monthly_rent,move_in_date,move_out_date,lease_term,short_lease_term,sublease_permitted,security_deposit,property_owner,property_type,sector,level,city,bedrooms,full_bathrooms,half_bathrooms,max_occupancy,wheelchair_access,basement,laundry,parking,num_parking_spaces,offstreet_parking,offstreet_monthly,offstreet_yearly,onstreet_parking,onstreet_permit_required,garage_parking,garage_monthly,garage_yearly,furnished,fireplace,air_conditioning,dishwasher,stove,refrigerator,security_system,backyard,deck_or_porch,other_amenities,pet_deposit,additional_pet_rent,additional_dog_rent,additional_cat_rent,pets_allowed,dogs_allowed,cats_allowed,pet_deposit_refundable,water_included,electric_included,gas_included
2060 North High Street Sublet (Sublet),https://offcampus.osu.edu/search-housing.aspx?property=7355&pricefrom=0&sort=1&alllandlords=0&sublet=true,00001CBB,$900.00,5/1/2026,8/2/2026,FLEXIBLE,False,True,$175,Inn-Town Homes and Apartments,Studio/Efficiency,University District: Northeast,Ground Level,"Columbus, OH",1,1,0,2,True,False,Laundry facilities in the building,True,0,True,n/a,n/a,False,,False,n/a,n/a,True,False,Central A/C,False,False,True,False,False,False,,$0,$0,$0,$0,False,False,False,False,True,True,True
399 East 13th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=20227&pricefrom=0&sort=1&alllandlords=0,00004F03,$440.00 - $550.00,02-01-2026,08-14-2026,6.5 months,True,True,$one month's rent,Junxia Xie,Half Double,University District: Central,Above Ground,"Columbus, OH",5,1,0,5,False,True,Laundry facilities in the building,True,5,True,n/a,n/a,True,,False,n/a,n/a,False,False,Central A/C,True,True,True,True,True,True,"Single room available in this 5-bedroom unit for Fall semester 2026. A group of 5 is more favorable for school calendar year of 2026-2027",$300,$40,$40,$40,True,False,True,True,False,False,False
2233 Neil Avenue Unit I,https://offcampus.osu.edu/search-housing.aspx?property=17341&pricefrom=0&sort=1&alllandlords=0,000043BD,$450.00 - $600.00,08-16-2026,08-09-2027,12 Months,False,False,$one month's rent,"OSU Apartments & Rentals, Inc.",House,University District: Northwest,Above Ground,"Columbus, OH",1,1,0,1,False,False,Laundry facilities in the unit,True,0,False,n/a,n/a,True,,False,n/a,n/a,False,True,Window A/C,True,True,True,True,True,True,"This is a beautiful house, one block from OSU's north campus.",$0,$0,$0,$0,False,False,False,True,False,False,False
2233 Neil Avenue Unit E,https://offcampus.osu.edu/search-housing.aspx?property=20887&pricefrom=0&sort=1&alllandlords=0,00005197,$450.00,08-16-2026,08-09-2027,"August 16, 2026 - August 9, 2027",False,False,$one month's rent,"OSU Apartments & Rentals, Inc.",Rooming House,University District: Northwest,Above Ground,"Columbus, OH",1,1,0,1,False,False,Laundry facilities in the unit,True,0,False,n/a,n/a,True,,False,n/a,n/a,False,True,Central A/C,True,True,True,True,True,True,"This is a beautiful house, one block from OSU's north campus.",$0,$0,$0,$0,False,False,False,False,False,False,False
2408 Medary Avenue Unit 1,https://offcampus.osu.edu/search-housing.aspx?property=21686&pricefrom=0&sort=1&alllandlords=0,000054B6,$460.00 - $480.00,08-05-2026,08-04-2027,12 months +,False,True,$One month rent,BRE LLC,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",4,1,0,1,False,True,Laundry facilities in the unit,True,4,False,n/a,n/a,True,,False,n/a,n/a,False,False,Central A/C,False,True,True,False,True,True,,$0,$0,$0,$0,False,False,False,False,False,False,False
